CellType	Metagene
NaiveB	ABCB4
NaiveB	ADAM28
NaiveB	BACH2
NaiveB	BANK1
NaiveB	BCL7A
NaiveB	BEND5
NaiveB	BLK
NaiveB	BRAF
NaiveB	CD180
NaiveB	CD19
NaiveB	CD1C
NaiveB	CD22
NaiveB	CD37
NaiveB	CD69
NaiveB	CD72
NaiveB	CD79A
NaiveB	CD79B
NaiveB	CR2
NaiveB	CXCR5
NaiveB	EAF2
NaiveB	FAIM3
NaiveB	FCER2
NaiveB	FCGR2B
NaiveB	FCRL2
NaiveB	FRK
NaiveB	GPR18
NaiveB	GUSBP11
NaiveB	HHEX
NaiveB	HLA-DOB
NaiveB	IGHD
NaiveB	IGHM
NaiveB	IGKC
NaiveB	IGLL3P
NaiveB	IL4R
NaiveB	IRF8
NaiveB	KIAA0226L
NaiveB	LINC00921
NaiveB	LTB
NaiveB	LY86
NaiveB	MEP1A
NaiveB	MICAL3
NaiveB	MS4A1
NaiveB	NIPSNAP3B
NaiveB	NMBR
NaiveB	P2RX5
NaiveB	P2RY14
NaiveB	PNOC
NaiveB	PSG2
NaiveB	PTPRCAP
NaiveB	RALGPS2
NaiveB	RASGRP2
NaiveB	SELL
NaiveB	SIK1
NaiveB	SLC12A1
NaiveB	SPIB
NaiveB	STAP1
NaiveB	TCL1A
NaiveB	UGT1A8
NaiveB	VPREB3
NaiveB	ZNF286A
MemoryB	ADAM28
MemoryB	AIM2
MemoryB	ALOX5
MemoryB	BACH2
MemoryB	BANK1
MemoryB	BLK
MemoryB	CCR6
MemoryB	CD180
MemoryB	CD19
MemoryB	CD1C
MemoryB	CD22
MemoryB	CD27
MemoryB	CD37
MemoryB	CD69
MemoryB	CD72
MemoryB	CD79A
MemoryB	CD79B
MemoryB	CLCA3P
MemoryB	CR2
MemoryB	CXCR5
MemoryB	DENND5B
MemoryB	FAIM3
MemoryB	FAM65B
MemoryB	FCGR2B
MemoryB	FCRL2
MemoryB	FRK
MemoryB	GNG7
MemoryB	GPR18
MemoryB	GUSBP11
MemoryB	HHEX
MemoryB	HLA-DOB
MemoryB	IFNA10
MemoryB	IGHD
MemoryB	IGHM
MemoryB	IGKC
MemoryB	IGLL3P
MemoryB	IL7
MemoryB	IRF8
MemoryB	KIAA0226L
MemoryB	LTB
MemoryB	LY86
MemoryB	MBL2
MemoryB	MS4A1
MemoryB	NMBR
MemoryB	NPIPB15
MemoryB	P2RX5
MemoryB	PNOC
MemoryB	PTPRCAP
MemoryB	RALGPS2
MemoryB	RASGRP2
MemoryB	SIK1
MemoryB	SIT1
MemoryB	SLC12A1
MemoryB	SP140
MemoryB	SPIB
MemoryB	STAP1
MemoryB	TMEM156
MemoryB	TNFRSF13B
MemoryB	TNFRSF17
MemoryB	TRAF4
MemoryB	VPREB3
MemoryB	ZBTB32
ActivateB	ABCB9
ActivateB	AMPD1
ActivateB	ANGPT4
ActivateB	ATXN8OS
ActivateB	C11orf80
ActivateB	CCR10
ActivateB	CD27
ActivateB	CD38
ActivateB	CD79A
ActivateB	DENND5B
ActivateB	EAF2
ActivateB	FCRL2
ActivateB	GNG7
ActivateB	GPR25
ActivateB	GUSBP11
ActivateB	HIST1H2AE
ActivateB	HIST1H2BG
ActivateB	HLA-DOB
ActivateB	IGHD
ActivateB	IGHE
ActivateB	IGHM
ActivateB	IGKC
ActivateB	IGLL3P
ActivateB	KCNA3
ActivateB	KCNG2
ActivateB	LIME1
ActivateB	LOC100130100
ActivateB	MAN1A1
ActivateB	MANEA
ActivateB	MAST1
ActivateB	MROH7
ActivateB	MZB1
ActivateB	P2RX5
ActivateB	PAX7
ActivateB	PDK1
ActivateB	PNOC
ActivateB	RASGRP3
ActivateB	REN
ActivateB	RGS13
ActivateB	RPL3P7
ActivateB	SIK1
ActivateB	SPAG4
ActivateB	ST6GALNAC4
ActivateB	TGM5
ActivateB	TMEM156
ActivateB	TNFRSF17
ActivateB	UGT2B17
ActivateB	ZBP1
ActivateB	ZNF165
CD8T	BCL11B
CD8T	CCL5
CD8T	CD2
CD8T	CD247
CD8T	CD27
CD8T	CD3D
CD8T	CD3E
CD8T	CD3G
CD8T	CD6
CD8T	CD69
CD8T	CD7
CD8T	CD8A
CD8T	CD8B
CD8T	CD96
CD8T	CRTAM
CD8T	CST7
CD8T	CTSW
CD8T	DPP4
CD8T	DSC1
CD8T	DUSP2
CD8T	FAIM3
CD8T	FLT3LG
CD8T	GNLY
CD8T	GPR171
CD8T	GRAP2
CD8T	GZMA
CD8T	GZMB
CD8T	GZMH
CD8T	GZMK
CD8T	GZMM
CD8T	ICOS
CD8T	IGKC
CD8T	IL7R
CD8T	ITK
CD8T	KLRB1
CD8T	KLRC3
CD8T	KLRC4
CD8T	KLRD1
CD8T	KLRF1
CD8T	KLRK1
CD8T	LAG3
CD8T	LCK
CD8T	LEF1
CD8T	LIME1
CD8T	LTB
CD8T	LY9
CD8T	MAP4K1
CD8T	MAP9
CD8T	NCR3
CD8T	NKG7
CD8T	PIK3IP1
CD8T	PRF1
CD8T	PTGDR
CD8T	PTPRCAP
CD8T	PVRIG
CD8T	RASA3
CD8T	RPL3P7
CD8T	SH2D1A
CD8T	SIRPG
CD8T	TCF7
CD8T	TRAC
CD8T	TRAT1
CD8T	TRAV12-2
CD8T	TRAV13-1
CD8T	TRBC1
CD8T	TRDC
CD8T	UBASH3A
CD8T	ZAP70
NaiveCD4T	ACAP1
NaiveCD4T	ANKRD55
NaiveCD4T	ATHL1
NaiveCD4T	BCL11B
NaiveCD4T	CCR7
NaiveCD4T	CD2
NaiveCD4T	CD247
NaiveCD4T	CD27
NaiveCD4T	CD3D
NaiveCD4T	CD3G
NaiveCD4T	CD40LG
NaiveCD4T	CD7
NaiveCD4T	CXorf57
NaiveCD4T	DPP4
NaiveCD4T	DSC1
NaiveCD4T	EPHA1
NaiveCD4T	FAIM3
NaiveCD4T	FLJ13197
NaiveCD4T	FLT3LG
NaiveCD4T	GAL3ST4
NaiveCD4T	GALR1
NaiveCD4T	GPR1
NaiveCD4T	GRAP2
NaiveCD4T	GZMM
NaiveCD4T	ICOS
NaiveCD4T	IL7R
NaiveCD4T	ITK
