Celltype	Metagene	Immunity
ActivatedBcell	ADAM28	Adaptive
ActivatedBcell	CD180	Adaptive
ActivatedBcell	CD79B	Adaptive
ActivatedBcell	BLK	Adaptive
ActivatedBcell	CD19	Adaptive
ActivatedBcell	MS4A1	Adaptive
ActivatedBcell	TNFRSF17	Adaptive
ActivatedBcell	IGHM	Adaptive
ActivatedBcell	GNG7	Adaptive
ActivatedBcell	MICAL3	Adaptive
ActivatedBcell	SPIB	Adaptive
ActivatedBcell	HLA-DOB	Adaptive
ActivatedBcell	IGKC	Adaptive
ActivatedBcell	PNOC	Adaptive
ActivatedBcell	FCRL2	Adaptive
ActivatedBcell	BACH2	Adaptive
ActivatedBcell	CR2	Adaptive
ActivatedBcell	TCL1A	Adaptive
ActivatedBcell	AKNA	Adaptive
ActivatedBcell	ARHGAP25	Adaptive
ActivatedBcell	CCL21	Adaptive
ActivatedBcell	CD27	Adaptive
ActivatedBcell	CD38	Adaptive
ActivatedBcell	CLEC17A	Adaptive
ActivatedBcell	CLEC9A	Adaptive
ActivatedBcell	CLECL1	Adaptive
ActivatedCD4Tcell	AIM2	Adaptive
ActivatedCD4Tcell	BIRC3	Adaptive
ActivatedCD4Tcell	BRIP1	Adaptive
ActivatedCD4Tcell	CCL20	Adaptive
ActivatedCD4Tcell	CCL4	Adaptive
ActivatedCD4Tcell	CCL5	Adaptive
ActivatedCD4Tcell	CCNB1	Adaptive
ActivatedCD4Tcell	CCR7	Adaptive
ActivatedCD4Tcell	DUSP2	Adaptive
ActivatedCD4Tcell	ESCO2	Adaptive
ActivatedCD4Tcell	ETS1	Adaptive
ActivatedCD4Tcell	EXO1	Adaptive
ActivatedCD4Tcell	EXOC6	Adaptive
ActivatedCD4Tcell	IARS	Adaptive
ActivatedCD4Tcell	ITK	Adaptive
ActivatedCD4Tcell	KIF11	Adaptive
ActivatedCD4Tcell	KNTC1	Adaptive
ActivatedCD4Tcell	NUF2	Adaptive
ActivatedCD4Tcell	PRC1	Adaptive
ActivatedCD4Tcell	PSAT1	Adaptive
ActivatedCD4Tcell	RGS1	Adaptive
ActivatedCD4Tcell	RTKN2	Adaptive
ActivatedCD4Tcell	SAMSN1	Adaptive
ActivatedCD4Tcell	SELL	Adaptive
ActivatedCD4Tcell	TRAT1	Adaptive
ActivatedCD8Tcell	ADRM1	Adaptive
ActivatedCD8Tcell	AHSA1	Adaptive
ActivatedCD8Tcell	C1GALT1C1	Adaptive
ActivatedCD8Tcell	CCT6B	Adaptive
ActivatedCD8Tcell	CD37	Adaptive
ActivatedCD8Tcell	CD3D	Adaptive
ActivatedCD8Tcell	CD3E	Adaptive
ActivatedCD8Tcell	CD3G	Adaptive
