cluster	gene
Bladder cell(Bladder)	Dcn
Bladder cell(Bladder)	Col1a1
Bladder cell(Bladder)	Col1a2
Bladder cell(Bladder)	Col3a1
Bladder cell(Bladder)	Sparc
Bladder cell(Bladder)	Mgp
Bladder cell(Bladder)	Serpinh1
Bladder cell(Bladder)	Bgn
Bladder cell(Bladder)	Plac9
Bladder cell(Bladder)	Nbl1
Bladder cell(Bladder)	Serping1
Bladder cell(Bladder)	Lgals1
Bladder cell(Bladder)	Fbln1
Bladder cell(Bladder)	Gadd45g
Bladder cell(Bladder)	Htra1
Bladder cell(Bladder)	Col6a1
Bladder cell(Bladder)	Igfbp6
Bladder cell(Bladder)	Rcn3
Bladder cell(Bladder)	Ppic
Bladder cell(Bladder)	Rarres2
Bladder cell(Bladder)	Pcolce
Bladder cell(Bladder)	Mmp2
Bladder cell(Bladder)	Tuba1a
Bladder cell(Bladder)	Timp2
Bladder cell(Bladder)	Cebpd
Bladder cell(Bladder)	Socs3
Bladder cell(Bladder)	Csrp2
Bladder cell(Bladder)	Plac8
Bladder cell(Bladder)	Cygb
Bladder cell(Bladder)	Tcf21
Bladder cell(Bladder)	Id3
Bladder cell(Bladder)	Selm
Bladder cell(Bladder)	Ecm1
Bladder cell(Bladder)	Wnt2
Bladder cell(Bladder)	Vim
Bladder cell(Bladder)	Col6a2
Bladder cell(Bladder)	Fbln5
Bladder cell(Bladder)	Fn1
Bladder cell(Bladder)	Nupr1
Bladder cell(Bladder)	Ly6a
Bladder cell(Bladder)	Fstl1
Bladder cell(Bladder)	Rbp1
Bladder cell(Bladder)	C1s
Bladder cell(Bladder)	Mxra8
Bladder cell(Bladder)	Prelp
Bladder cell(Bladder)	Dkk3
Bladder cell(Bladder)	Lsp1
Bladder cell(Bladder)	Col5a2
Bladder cell(Bladder)	Cd81
Bladder cell(Bladder)	Junb
Bladder cell(Bladder)	Klf9
Bladder cell(Bladder)	Ifitm3
Bladder cell(Bladder)	Aebp1
Bladder cell(Bladder)	Tmsb10
Bladder cell(Bladder)	Aldh2
Bladder cell(Bladder)	Cd302
Bladder cell(Bladder)	Lhfp
Bladder cell(Bladder)	Anxa5
Bladder cell(Bladder)	Ctsk
Bladder cell(Bladder)	Ifitm2
Bladder cell(Bladder)	Bmp4
Bladder cell(Bladder)	Ltbp4
Bladder cell(Bladder)	Fkbp7
Bladder cell(Bladder)	Crispld2
Bladder cell(Bladder)	Col5a1
Bladder cell(Bladder)	C1ra
Bladder cell(Bladder)	Nkain4
Bladder cell(Bladder)	Igfbp7
Bladder cell(Bladder)	Cd63
Bladder cell(Bladder)	Col16a1
Bladder cell(Bladder)	Emp3
Bladder cell(Bladder)	Fxyd1
Bladder cell(Bladder)	Sepp1
Bladder cell(Bladder)	Rcn1
Bladder cell(Bladder)	Dynll1
Bladder cell(Bladder)	Axl
Bladder cell(Bladder)	Slc25a4
Bladder cell(Bladder)	Nenf
Bladder cell(Bladder)	Gnas
Bladder cell(Bladder)	Arf4
Bladder cell(Bladder)	Pmp22
Bladder cell(Bladder)	Rhoc
Bladder cell(Bladder)	Itih5
Bladder cell(Bladder)	Ubb
Bladder cell(Bladder)	0610007N19Rik
Bladder cell(Bladder)	Pltp
Bladder cell(Bladder)	Tubb6
Bladder cell(Bladder)	Ctsl
Bladder cell(Bladder)	Vcan
Bladder cell(Bladder)	Ptgis
Bladder cell(Bladder)	Egr1
Bladder cell(Bladder)	Adam23
Bladder cell(Bladder)	Serpinf1
Bladder cell(Bladder)	Cald1
Bladder cell(Bladder)	Txndc5
Bladder cell(Bladder)	Smoc2
Bladder cell(Bladder)	Col6a3
Bladder cell(Bladder)	Pdpn
Bladder cell(Bladder)	Col12a1
Bladder cell(Bladder)	Nfkbia
Bladder cell(Bladder)	Fosb
Bladder cell(Bladder)	Cst3
Bladder cell(Bladder)	Pdgfra
Bladder cell(Bladder)	Akap12
Bladder cell(Bladder)	Pnp
Bladder cell(Bladder)	Zfp36l1
Bladder cell(Bladder)	Rnase4
Bladder cell(Bladder)	Kdelr3
Bladder cell(Bladder)	Fcgrt
Bladder cell(Bladder)	Leprel2
Bladder cell(Bladder)	Tmem176b
Bladder cell(Bladder)	Olfml3
Bladder cell(Bladder)	Mmp23
Bladder cell(Bladder)	Efemp1
Bladder cell(Bladder)	Copz2
Bladder cell(Bladder)	Tmed3
Bladder cell(Bladder)	Npc2
Bladder cell(Bladder)	Creb3l1
Bladder cell(Bladder)	Lrp1
Bladder cell(Bladder)	Ppp1r15a
Bladder cell(Bladder)	Fkbp9
Bladder cell(Bladder)	Sep15
Bladder cell(Bladder)	Mfap2
Bladder cell(Bladder)	Serpina3n
Bladder cell(Bladder)	Crip1
Bladder cell(Bladder)	Oat
Bladder cell(Bladder)	Calm2
Bladder cell(Bladder)	Chpf
Bladder cell(Bladder)	Hsd11b1
Bladder cell(Bladder)	Calu
Bladder cell(Bladder)	Thbs2
Bladder cell(Bladder)	Spon2
Bladder cell(Bladder)	Rrbp1
Bladder cell(Bladder)	Mmp14
Bladder cell(Bladder)	Ifitm1
Bladder cell(Bladder)	Irf1
Bladder cell(Bladder)	Oaf
Bladder cell(Bladder)	Wbp5
Bladder cell(Bladder)	Spon1
Bladder cell(Bladder)	Tgm2
Bladder cell(Bladder)	Plxdc2
Bladder cell(Bladder)	Fkbp10
Bladder cell(Bladder)	Meg3
Bladder cell(Bladder)	Cpxm1
Bladder cell(Bladder)	Emilin1
Bladder cell(Bladder)	Gabarap
Bladder cell(Bladder)	Tmem158
Bladder cell(Bladder)	Ifi27l2a
Bladder cell(Bladder)	Jund
Bladder cell(Bladder)	Gadd45b
Bladder cell(Bladder)	Fndc1
Bladder cell(Bladder)	Htra3
Bladder cell(Bladder)	Gsn
Bladder cell(Bladder)	Hspa8
Bladder cell(Bladder)	Tgfbi
Bladder cell(Bladder)	Hspg2
Bladder cell(Bladder)	Colec12
Bladder cell(Bladder)	Akap2
Bladder cell(Bladder)	Ier2
Bladder cell(Bladder)	Fzd1
Bladder cell(Bladder)	Map1lc3b
Bladder cell(Bladder)	Gas6
Bladder cell(Bladder)	Col4a1
Bladder cell(Bladder)	Tmem176a
Bladder cell(Bladder)	Sdc2
Bladder cell(Bladder)	Scarf2
Bladder cell(Bladder)	Ctsz
Bladder cell(Bladder)	C1qtnf2
Bladder cell(Bladder)	Lgals9
Bladder cell(Bladder)	Loxl2
Bladder cell(Bladder)	Klf4
Bladder cell(Bladder)	Nr4a1
Bladder cell(Bladder)	Ppp1r14a
Bladder cell(Bladder)	Calcrl
Bladder cell(Bladder)	Laptm4a
Bladder cell(Bladder)	Scpep1
Bladder cell(Bladder)	Ppib
Bladder cell(Bladder)	Gpx3
Bladder cell(Bladder)	Mustn1
Bladder cell(Bladder)	Il11ra1
Bladder cell(Bladder)	Adk
Bladder cell(Bladder)	Pgcp
Bladder cell(Bladder)	Ccnl1
Bladder cell(Bladder)	Fos
Bladder cell(Bladder)	Rhoj
Bladder cell(Bladder)	Hspa1a
Bladder cell(Bladder)	Vcam1
Bladder cell(Bladder)	Gas5
Bladder cell(Bladder)	Mdk
Bladder cell(Bladder)	Nav1
Bladder cell(Bladder)	Ly6c1
Bladder cell(Bladder)	Hk2
Bladder cell(Bladder)	Asz1
Bladder cell(Bladder)	B2m
Bladder cell(Bladder)	Zfp36
Bladder cell(Bladder)	Fhl1
Bladder cell(Bladder)	Lama2
Bladder cell(Bladder)	Fth1
Bladder cell(Bladder)	Pi16
Bladder cell(Bladder)	Myl6
Bladder cell(Bladder)	Wfdc1
Bladder cell(Bladder)	Efemp2
Bladder cell(Bladder)	Tceal8
Bladder cell(Bladder)	Sec61g
Bladder cell(Bladder)	Hspa5
Bladder cell(Bladder)	Dkk2
Bladder cell(Bladder)	Podn
Bladder cell(Bladder)	Npdc1
Bladder cell(Bladder)	AW112010
Bladder cell(Bladder)	Lbp
Bladder cell(Bladder)	Adamts1
Bladder cell(Bladder)	Nme2
Bladder cell(Bladder)	Col4a2
Bladder cell(Bladder)	Lamc1
Bladder cell(Bladder)	Lamp1
Bladder cell(Bladder)	Thsd4
Bladder cell(Bladder)	Cxcl14
Bladder cell(Bladder)	Fgfr1
Bladder cell(Bladder)	Sfrp2
Bladder cell(Bladder)	Adamts2
Bladder cell(Bladder)	Nedd4
Bladder cell(Bladder)	Gpx8
Bladder cell(Bladder)	Tpst1
Bladder cell(Bladder)	Vkorc1
Bladder cell(Bladder)	Prkcdbp
Bladder cell(Bladder)	Timp3
Bladder cell(Bladder)	Col14a1
Bladder cell(Bladder)	Ppp1r2
Bladder cell(Bladder)	Cxcl12
Bladder cell(Bladder)	Antxr1
Bladder cell(Bladder)	Ms4a4d
Bladder cell(Bladder)	Hsp90aa1
Bladder cell(Bladder)	Gm1821
Bladder cell(Bladder)	Nid1
Bladder cell(Bladder)	Fbn1
Bladder cell(Bladder)	B3gnt9-ps
Bladder cell(Bladder)	Kazald1
Bladder cell(Bladder)	Nfic
Bladder cell(Bladder)	Col8a1
Bladder cell(Bladder)	Gpc6
Bladder cell(Bladder)	3632451O06Rik
Bladder cell(Bladder)	Hhip
Bladder cell(Bladder)	Loxl1
Bladder cell(Bladder)	Nkd1
Bladder cell(Bladder)	Fkbp1a
Bladder cell(Bladder)	Cck
Bladder cell(Bladder)	Tcf4
Bladder cell(Bladder)	Tmem45a
Bladder cell(Bladder)	Ddr2
Bladder cell(Bladder)	Ctsb
Bladder cell(Bladder)	Serf2
Bladder cell(Bladder)	Tnfsf9
Bladder cell(Bladder)	Tnfsf12
Bladder cell(Bladder)	Timp1
Bladder cell(Bladder)	9030425E11Rik
Bladder cell(Bladder)	Klf2
Bladder cell(Bladder)	Itm2c
Bladder cell(Bladder)	Sec62
Bladder cell(Bladder)	Crtap
Bladder cell(Bladder)	Gpx7
Bladder cell(Bladder)	Mpzl1
Bladder cell(Bladder)	Ddah2
Bladder cell(Bladder)	Enpp2
Bladder cell(Bladder)	Glul
Bladder cell(Bladder)	Dad1
Bladder cell(Bladder)	Pdia3
Bladder cell(Bladder)	Ptrf
Bladder cell(Bladder)	Car3
Bladder cell(Bladder)	S100a13
Bladder cell(Bladder)	Pamr1
Bladder cell(Bladder)	Ndufa4l2
Bladder cell(Bladder)	Cnn2
Bladder cell(Bladder)	Ckap4
Bladder cell(Bladder)	Krtcap2
Bladder cell(Bladder)	Igfbp4
Bladder cell(Bladder)	Myadm
Bladder cell(Bladder)	Rbp4
Bladder cell(Bladder)	Sar1a
Bladder cell(Bladder)	Rerg
Bladder cell(Bladder)	Notum
Bladder cell(Bladder)	Myh10
Bladder cell(Bladder)	Myl12a
Bladder cell(Bladder)	Mtch1
Bladder cell(Bladder)	Gstm2
Bladder cell(Bladder)	Malat1
Bladder cell(Bladder)	Islr
Bladder cell(Bladder)	Litaf
Bladder cell(Bladder)	Ifrd1
Bladder cell(Bladder)	Tmem119
Bladder cell(Bladder)	Camk2n1
Bladder cell(Bladder)	Gstt1
Bladder cell(Bladder)	Rap1b
Bladder cell(Bladder)	Cpz
Bladder cell(Bladder)	Pitx1
Bladder cell(Bladder)	Maged1
Bladder cell(Bladder)	Dnaja1
Bladder cell(Bladder)	Ddost
Bladder cell(Bladder)	Dnajb1
Bladder cell(Bladder)	Dtx3
Bladder cell(Bladder)	Fxyd5
Bladder cell(Bladder)	Calr
Bladder cell(Bladder)	Hspb8
Bladder cell(Bladder)	Zcchc24
Bladder cell(Bladder)	Fam114a1
Bladder cell(Bladder)	Fblim1
Bladder cell(Bladder)	Cadm3
Bladder cell(Bladder)	Dab2
Bladder cell(Bladder)	Aldh1a2
Bladder cell(Bladder)	Hsd17b11
Bladder cell(Bladder)	Aard
Bladder cell(Bladder)	Tnxb
Bladder cell(Bladder)	Prdm6
Bladder cell(Bladder)	Bmp1
Bladder cell(Bladder)	Tnc
Bladder cell(Bladder)	Csrp1
Bladder cell(Bladder)	Pdzrn3
Bladder cell(Bladder)	Dpep1
Bladder cell(Bladder)	Col11a1
Bladder cell(Bladder)	Rdx
Bladder cell(Bladder)	Grem2
Bladder cell(Bladder)	Pim1
Bladder cell(Bladder)	Pdlim2
Bladder cell(Bladder)	Cnn3
Bladder cell(Bladder)	Bag3
Bladder cell(Bladder)	F2r
Bladder cell(Bladder)	Ccdc80
Bladder cell(Bladder)	Lamp2
Bladder cell(Bladder)	Mfap4
Bladder cell(Bladder)	S100a10
Bladder cell(Bladder)	Tsc22d3
Bladder cell(Bladder)	Pros1
Bladder cell(Bladder)	2310044H10Rik
