Ependymal	Oligodendrocyte	Microglia	CA1Pyramidal	Interneuron	Endothelial	S1Pyramidal	Astrocyte	Mural
0610009L18Rik	0610007P14Rik	0610031J06Rik	0610010B08Rik_loc4	1700023F06Rik	1110008L16Rik	1110008P14Rik	1110054M08Rik	1500009L16Rik
1110008J03Rik	1110020A21Rik	1700017B05Rik	1500015A07Rik	2310030G06Rik	1110034G24Rik	1700007P06Rik	2610017I09Rik	1700120C14Rik
1110017D15Rik	1110057K04Rik	1810011H11Rik	2610018G03Rik	2310042E22Rik	2810417H13Rik	2210408F21Rik	2610100L16Rik	Accs
1700001O22Rik	1500004A13Rik	4933406I18Rik	4831440E17Rik	2610002M06Rik	4930594C11Rik	2810408I11Rik	2900052N01Rik	Acta2
1700003E16Rik	1500015L24Rik	5430427O19Rik	4931440F15Rik	2610203C20Rik	5430416O09Rik	3110047P20Rik	9630001P10Rik	Adamts15
1700003M02Rik	1700001P01Rik	6230400D17Rik	4933426M11Rik	2900056M20Rik	8430408G22Rik	3110079O15Rik	Aass	Adamts16
1700007G11Rik	1700047M11Rik	AB124611	5730577I03Rik	4930563E22Rik	9030619P08Rik	4930412C18Rik	Abcb9	Adamts8
1700007K13Rik	1810037I17Rik	Abca9	9930014A18Rik	5330434G04Rik	9430020K01Rik	4930429B21Rik	Abhd1	Adamtsl1
1700007L15Rik	1810058I24Rik	Abcb1b	A230077H06Rik	6330409D20Rik	Abcb1a	4933409K07Rik_loc2	Acadvl	Adcy6
1700009P17Rik	2310069G16Rik	Abcc3	A930024E05Rik	6430573F11Rik	Abcc6	4933409K07Rik_loc3	Acot11	Airn
1700013F07Rik	2610316D01Rik	Abhd15	Abhd17c	A330076H08Rik	Abcc9	4933409K07Rik_loc4	Acsbg1	Amigo2
1700013G23Rik	2700046A07Rik	Acp5	Abi1	A330102I10Rik	Abhd2	6430584L05Rik	Acsl3	Ano1
1700016K19Rik	2700070H01Rik	Ada	Acot4	A430107P09Rik	Ablim1	9330179D12Rik	Acsl6	Aoc3
1700028P14Rik	2810410L24Rik	Adam33	Actl6b	A530058N18Rik	Acacb	A830009L08Rik	Acss1	Arglu1
1700029J07Rik	2810429I04Rik	Adcy7	Actr2	A830082N09Rik	Acer2	A830010M20Rik	Acss2	Arhgap10
1700088E04Rik	2810468N07Rik	Adrb2	Actr3	Ache	Acin1	Abi3bp	Adcy2	Arhgef7
1700094D03Rik	3110007F17Rik	AF251705	Adamts7	Acot7	Ackr2	Adcyap1	Add3	Arid3b
1810010H24Rik	3110045C21Rik	Ago4	Adck3	Adamts17	Acvrl1	Adrb1	Adk	Asb2
1810020O05Rik	4930402H24Rik	Ahr	Add2	Adar	Adam10	Agbl4	Agl	AW011738
2310010J17Rik	4930452G13Rik	AI607873	Adra1d	Afap1	Adamts10	Akap6	Agpat3	BC053749
2610301B20Rik	4930506C21Rik	AI662270	Adra2c	Agtpbp1	Adcy4	Ankrd13d	Agpat5	Bend3
2610507I01Rik	5031410I06Rik	Aif1	AF357355	AI504432	Akap13	Apoa1	Ahcyl1	Bgn
2810047C21Rik1	5031439G07Rik	Aim2	Aff3	AI854703	Alas1	Arg2	Aifm2	Bmp5
2810403D21Rik	5330426P16Rik	Alox5ap	Agap3	Akap7	Ankrd23	Arhgap15	Ak3	C1qtnf7
2810433D01Rik	6330416G13Rik	Alox5	Agfg2	Alg2	Ankrd37	Arhgap20	Akt2	C1rb
3110021N24Rik	9330117O12Rik	Amdhd2	Ahi1	Alk	Apbb2	Arhgap32	Aldh7a1	C1s
4430402I18Rik	9330188P03Rik	Angptl7	AI115009	Ank1	Apcdd1	Arl4d	Aldoc	C230081A13Rik
4922501L14Rik	9630013A20Rik	Ap1b1	Alox12b	Ankrd34b	Aplnr	Arpp19	Alpk1	Capn15
4930451C15Rik	A230001M10Rik	Apaf1	Aloxe3	Ankrd55	Arhgap27	Arpp21	Amer2	Ces5a
4930529M08Rik	A230009B12Rik	Aph1c	Amz1	Ankrd6	Arhgef15	Asap1	Ampd3	Cnn1
4931440P22Rik	AA986860	Apobec1	Ano5	Apba1	Arhgef5	Atp1a1	Amt	Cog7
4932438H23Rik	Aamdc	Arhgap11a	Ap1s1	Araf	Arl4a	Atp2a2	Arhgef10l	Col18a1
4933407L21Rik	Aatk	Arhgap17	Ap2b1	Arhgap24	Asb4	Atp2b2	Aspg	Crip1
5033411D12Rik	Abca2	Arhgap19	Ap3b2	Armcx2	Atp10d	Atp6v1d	Atl2	Crispld2
5330413P13Rik	Abl1	Arhgap30	Ar	Armcx4	Atp11c	AU023762	Atoh8	Crtc3
6430550D23Rik	Abtb2	Arhgap4	Arf1	Arnt2	AU021092	AW495222	B230209K01Rik	Ctnna3
6820408C15Rik	Acat2	Arrb2	Arf5	Arrb1	AW112010	B230216N24Rik	B3galtl	Des
8430431K14Rik	Adh5	Arsb	Arhgap39	Arx	Axin2	B230217O12Rik	Baalc	Dnah8
9230110C19Rik	Adi1	Bcl2a1b	Arhgef28	Arxes1	B3gnt2	B4galt2	Bmp7	Dok6
9230114K14Rik	Ado	Bcl2a1c	Arhgef9	B230216G23Rik	B4galt4	Bai1	Bmpr1a	Dstn
A330021E22Rik	Adssl1	Bid	Arl15	B4galt5	Bag3	BC048546	Bmpr1b	Eif4e3
A330049N07Rik	Agpat4	Bin2	Arpc2	B630019K06Rik	BC028528	BC051226	C030037D09Rik	Emilin1
A630066F11Rik	Aldh9a1	Blnk	Arpc5	Baiap2l2	Bcl6b	Bsn	Capn2	Ephx3
A930006K02Rik	Angpt4	Blvra	Arsj	Baiap3	Bsg	C030013G03Rik	Car5b	Errfi1
Abca4	Ankrd13a	Blvrb	Asap2	BC005764	Btbd7	C2cd4c	Car8	Espl1
Abca8a	Ankrd28	Bmp2	Asphd2	BC030867	C130074G19Rik	C630020P19Rik	Cbr3	Fbxl22
Acad12	Anln	Btk	B3gat1	Bcat1	Car4	C730002L08Rik	Cecr2	Fgl2
Ace	Ano10	C1qa	B4galnt1	Bean1	Card10	C77080	Chi3l1	Filip1l
Acot1	Ano4	C1qb	Bag4	Blcap	Casp7	Cabp1	Chrdl1	Flna
Acot5	Ap3m1	C1qc	BC048507	Bmp3	Ccdc125	Cacna1a	Chst11	Foxs1
Adamts20	Ap5z1	C3ar1	Bcr	Btbd11	Ccdc141	Cacna1i	Chst2	Frk
