E001	ES-I3_Cells
E002	ES-WA7_Cells
E003	H1_Cells
E004	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
E005	H1_BMP4_Derived_Trophoblast_Cultured_Cells
E006	H1_Derived_Mesenchymal_Stem_Cells
E007	H1_Derived_Neuronal_Progenitor_Cultured_Cells
E008	H9_Cells
E009	H9_Derived_Neuronal_Progenitor_Cultured_Cells
E010	H9_Derived_Neuron_Cultured_Cells
E011	hESC_Derived_CD184+_Endoderm_Cultured_Cells
E012	hESC_Derived_CD56+_Ectoderm_Cultured_Cells
E013	hESC_Derived_CD56+_Mesoderm_Cultured_Cells
E014	HUES48_Cells
E015	HUES6_Cells
E016	HUES64_Cells
E017	IMR90_fetal_lung_fibroblasts_Cell_Line
E018	iPS-15b_Cells
E019	iPS-18_Cells
E020	iPS-20b_Cells
E021	iPS_DF_6.9_Cells
E022	iPS_DF_19.11_Cells
E023	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
E024	ES-UCSF4__Cells
E025	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
E026	Bone_Marrow_Derived_Cultured_Mesenchymal_Stem_Cells
E027	Breast_Myoepithelial_Primary_Cells
E028	Breast_variant_Human_Mammary_Epithelial_Cells_vHMEC
E029	Primary_monocytes_from peripheral blood
E030	Primary_neutrophils_from peripheral blood
E031	Primary_B_cells_from_cord_blood
E032	Primary_B_cells_from_peripheral_blood
E033	Primary_T_cells_from_cord_blood
E034	Primary_T_cells_from peripheral blood
E035	Primary_hematopoietic_stem_cells
E036	Primary_hematopoietic_stem_cells_short_term_culture
E037	Primary_T_helper_memory_cells_from_peripheral_blood_2
E038	Primary_T_helper_naive_cells_from_peripheral_blood
E039	Primary_T_helper_naive_cells_from peripheral blood
E040	Primary_T_helper_memory_cells_from_peripheral_blood_1
E041	Primary_T_helper_cells_PMA-I_stimulated
E042	Primary_T_helper_17_cells_PMA-I_stimulated
E043	Primary_T_helper_cells_from peripheral blood
E044	Primary_T_regulatory_cells_from peripheral blood
E045	Primary_T_cells_effector/memory_enriched_from_peripheral_blood
E046	Primary_Natural_Killer_cells_from peripheral blood
E047	Primary_T_CD8+_naive_cells_from_peripheral_blood
E048	Primary_T_CD8+_memory_cells_from_peripheral_blood
E049	Mesenchymal_Stem_Cell_Derived_Chondrocyte_Cultured_Cells
E050	Primary_hematopoietic_stem_cells_G-CSF-mobilized_Female
E051	Primary_hematopoietic_stem_cells_G-CSF-mobilized_Male
E052	Muscle_Satellite_Cultured_Cells
E053	Cortex_derived_primary_cultured_neurospheres
E054	Ganglion_Eminence_derived_primary_cultured_neurospheres
E055	Foreskin_Fibroblast_Primary_Cells_skin01
E056	Foreskin_Fibroblast_Primary_Cells_skin02
E057	Foreskin_Keratinocyte_Primary_Cells_skin02
E058	Foreskin_Keratinocyte_Primary_Cells_skin03
E059	Foreskin_Melanocyte_Primary_Cells_skin01
E061	Foreskin_Melanocyte_Primary_Cells_skin03
E062	Primary_mononuclear_cells_from peripheral blood
E063	Adipose_Nuclei
E065	Aorta
E066	Liver
E067	Brain_Angular_Gyrus
E068	Brain_Anterior_Caudate
E069	Brain_Cingulate_Gyrus
E070	Brain_Germinal_Matrix
E071	Brain_Hippocampus_Middle
E072	Brain_Inferior_Temporal_Lobe
E073	Brain_Dorsolateral_Prefrontal_Cortex
E074	Brain_Substantia_Nigra
E075	Colonic_Mucosa
E076	Colon_Smooth_Muscle
E077	Duodenum_Mucosa
E078	Duodenum_Smooth_Muscle
E079	Esophagus
E080	Fetal_Adrenal_Gland
E081	Fetal_Brain_Male
E082	Fetal_Brain_Female
E083	Fetal_Heart
E084	Fetal_Intestine_Large
E085	Fetal_Intestine_Small
E086	Fetal_Kidney
E087	Pancreatic_Islets
E088	Fetal_Lung
E089	Fetal_Muscle_Trunk
E090	Fetal_Muscle_Leg
E091	Placenta
E092	Fetal_Stomach
E093	Fetal_Thymus
E094	Gastric
E095	Left_Ventricle
E096	Lung
E097	Ovary
E098	Pancreas
E099	Placenta_Amnion
E100	Psoas_Muscle
E101	Rectal_Mucosa_Donor_29
E102	Rectal_Mucosa_Donor_31
E103	Rectal_Smooth_Muscle
E104	Right_Atrium
E105	Right_Ventricle
E106	Sigmoid_Colon
E107	Skeletal_Muscle_Male
E108	Skeletal_Muscle_Female
E109	Small_Intestine
E110	Stomach_Mucosa
E111	Stomach_Smooth_Muscle
E112	Thymus
E113	Spleen
E114	A549_EtOH_0.02pct_Lung_Carcinoma_Cell_Line
E115	Dnd41_TCell_Leukemia_Cell_Line
E116	GM12878_Lymphoblastoid_Cells
E117	HeLa-S3_Cervical_Carcinoma_Cell_Line
E118	HepG2_Hepatocellular_Carcinoma_Cell_Line
E119	HMEC_Mammary_Epithelial_Primary_Cells
E120	HSMM_Skeletal_Muscle_Myoblasts_Cells
E121	HSMM_cell_derived_Skeletal_Muscle_Myotubes_Cells
E122	HUVEC_Umbilical_Vein_Endothelial_Primary_Cells
E123	K562_Leukemia_Cells
E124	Monocytes-CD14+_RO01746_Primary_Cells
E125	NH-A_Astrocytes_Primary_Cells
E126	NHDF-Ad_Adult_Dermal_Fibroblast_Primary_Cells
E127	NHEK-Epidermal_Keratinocyte_Primary_Cells
E128	NHLF_Lung_Fibroblast_Primary_Cells
E129	Osteoblast_Primary_Cells
