cluster	gene
Fibroblast(Aorta)	Rbms3
Fibroblast(Aorta)	Abi3bp
Fibroblast(Aorta)	Pdpn
Fibroblast(Aorta)	Prrx1
Fibroblast(Aorta)	Olfml2b
Fibroblast(Aorta)	Twsg1
Fibroblast(Aorta)	Col6a1
Fibroblast(Aorta)	Ddr2
Fibroblast(Aorta)	Rarres2
Fibroblast(Aorta)	Sdc2
Fibroblast(Aorta)	Fxyd1
Fibroblast(Aorta)	Col6a2
Fibroblast(Aorta)	Nbl1
Fibroblast(Aorta)	Timp2
Fibroblast(Aorta)	Leprel2
Fibroblast(Aorta)	Loxl1
Fibroblast(Aorta)	Pcolce
Fibroblast(Aorta)	C1s
Fibroblast(Aorta)	Ltbp3
Fibroblast(Aorta)	Nfix
Fibroblast(Aorta)	Antxr1
Fibroblast(Aorta)	Rhou
Fibroblast(Aorta)	Col5a1
Fibroblast(Aorta)	Sh3d19
Fibroblast(Aorta)	Col5a2
Fibroblast(Aorta)	Gas1
Fibroblast(Aorta)	Cd248
Fibroblast(Aorta)	Serping1
Fibroblast(Aorta)	Egfr
Fibroblast(Aorta)	Tgfb3
Fibroblast(Aorta)	Mrc2
Fibroblast(Aorta)	Plxdc2
Fibroblast(Aorta)	Aldh1a1
Fibroblast(Aorta)	Colec12
Fibroblast(Aorta)	Ogn
Fibroblast(Aorta)	Bicc1
Fibroblast(Aorta)	Htra3
Fibroblast(Aorta)	Sod3
Fibroblast(Aorta)	C1ra
Fibroblast(Aorta)	Clec3b
Fibroblast(Aorta)	Mmp23
Fibroblast(Aorta)	Bmp1
Fibroblast(Aorta)	Dcn
Fibroblast(Aorta)	Fndc1
Fibroblast(Aorta)	Aebp1
Fibroblast(Aorta)	Slc1a5
Fibroblast(Aorta)	Prelp
Fibroblast(Aorta)	0610007N19Rik
Fibroblast(Aorta)	Lrp1
Fibroblast(Aorta)	Cd63
Fibroblast(Aorta)	Ptgfrn
Fibroblast(Aorta)	Lhfp
Fibroblast(Aorta)	Col6a3
Fibroblast(Aorta)	Hspb8
Fibroblast(Aorta)	Bmpr1a
Fibroblast(Aorta)	Scara3
Fibroblast(Aorta)	Col3a1
Fibroblast(Aorta)	Srpx
Fibroblast(Aorta)	Clip3
