CellType	Metagene
NaiveBcell	ABCB4
NaiveBcell	ADAM28
NaiveBcell	BACH2
NaiveBcell	BANK1
NaiveBcell	BCL7A
NaiveBcell	BEND5
NaiveBcell	BLK
NaiveBcell	BRAF
NaiveBcell	CD180
NaiveBcell	CD19
NaiveBcell	CD1C
NaiveBcell	CD22
NaiveBcell	CD37
NaiveBcell	CD69
NaiveBcell	CD72
NaiveBcell	CD79A
NaiveBcell	CD79B
NaiveBcell	CR2
NaiveBcell	CXCR5
NaiveBcell	EAF2
NaiveBcell	FAIM3
NaiveBcell	FCER2
NaiveBcell	FCGR2B
NaiveBcell	FCRL2
NaiveBcell	FRK
NaiveBcell	GPR18
NaiveBcell	GUSBP11
NaiveBcell	HHEX
NaiveBcell	HLA-DOB
NaiveBcell	IGHD
NaiveBcell	IGHM
NaiveBcell	IGKC
NaiveBcell	IGLL3P
NaiveBcell	IL4R
NaiveBcell	IRF8
NaiveBcell	KIAA0226L
NaiveBcell	LINC00921
NaiveBcell	LTB
NaiveBcell	LY86
NaiveBcell	MEP1A
NaiveBcell	MICAL3
NaiveBcell	MS4A1
NaiveBcell	NIPSNAP3B
NaiveBcell	NMBR
NaiveBcell	P2RX5
NaiveBcell	P2RY14
NaiveBcell	PNOC
NaiveBcell	PSG2
NaiveBcell	PTPRCAP
NaiveBcell	RALGPS2
NaiveBcell	RASGRP2
NaiveBcell	SELL
NaiveBcell	SIK1
NaiveBcell	SLC12A1
NaiveBcell	SPIB
NaiveBcell	STAP1
NaiveBcell	TCL1A
NaiveBcell	UGT1A8
NaiveBcell	VPREB3
NaiveBcell	ZNF286A
MemoryBcell	ADAM28
MemoryBcell	AIM2
MemoryBcell	ALOX5
MemoryBcell	BACH2
MemoryBcell	BANK1
MemoryBcell	BLK
MemoryBcell	CCR6
MemoryBcell	CD180
MemoryBcell	CD19
MemoryBcell	CD1C
MemoryBcell	CD22
MemoryBcell	CD27
MemoryBcell	CD37
MemoryBcell	CD69
MemoryBcell	CD72
MemoryBcell	CD79A
MemoryBcell	CD79B
MemoryBcell	CLCA3P
MemoryBcell	CR2
MemoryBcell	CXCR5
MemoryBcell	DENND5B
MemoryBcell	FAIM3
MemoryBcell	FAM65B
MemoryBcell	FCGR2B
MemoryBcell	FCRL2
MemoryBcell	FRK
MemoryBcell	GNG7
MemoryBcell	GPR18
MemoryBcell	GUSBP11
MemoryBcell	HHEX
MemoryBcell	HLA-DOB
MemoryBcell	IFNA10
MemoryBcell	IGHD
MemoryBcell	IGHM
MemoryBcell	IGKC
MemoryBcell	IGLL3P
MemoryBcell	IL7
MemoryBcell	IRF8
MemoryBcell	KIAA0226L
MemoryBcell	LTB
MemoryBcell	LY86
MemoryBcell	MBL2
MemoryBcell	MS4A1
MemoryBcell	NMBR
MemoryBcell	NPIPB15
MemoryBcell	P2RX5
MemoryBcell	PNOC
MemoryBcell	PTPRCAP
MemoryBcell	RALGPS2
MemoryBcell	RASGRP2
MemoryBcell	SIK1
MemoryBcell	SIT1
MemoryBcell	SLC12A1
MemoryBcell	SP140
MemoryBcell	SPIB
MemoryBcell	STAP1
MemoryBcell	TMEM156
MemoryBcell	TNFRSF13B
MemoryBcell	TNFRSF17
MemoryBcell	TRAF4
MemoryBcell	VPREB3
MemoryBcell	ZBTB32
ActivatedBcell	ABCB9
ActivatedBcell	AMPD1
ActivatedBcell	ANGPT4
ActivatedBcell	ATXN8OS
ActivatedBcell	C11orf80
ActivatedBcell	CCR10
ActivatedBcell	CD27
ActivatedBcell	CD38
ActivatedBcell	CD79A
ActivatedBcell	DENND5B
ActivatedBcell	EAF2
ActivatedBcell	FCRL2
ActivatedBcell	GNG7
ActivatedBcell	GPR25
ActivatedBcell	GUSBP11
ActivatedBcell	HIST1H2AE
ActivatedBcell	HIST1H2BG
ActivatedBcell	HLA-DOB
ActivatedBcell	IGHD
ActivatedBcell	IGHE
ActivatedBcell	IGHM
ActivatedBcell	IGKC
ActivatedBcell	IGLL3P
ActivatedBcell	KCNA3
ActivatedBcell	KCNG2
ActivatedBcell	LIME1
ActivatedBcell	LOC100130100
ActivatedBcell	MAN1A1
ActivatedBcell	MANEA
ActivatedBcell	MAST1
ActivatedBcell	MROH7
ActivatedBcell	MZB1
ActivatedBcell	P2RX5
ActivatedBcell	PAX7
ActivatedBcell	PDK1
ActivatedBcell	PNOC
ActivatedBcell	RASGRP3
ActivatedBcell	REN
ActivatedBcell	RGS13
ActivatedBcell	RPL3P7
ActivatedBcell	SIK1
ActivatedBcell	SPAG4
ActivatedBcell	ST6GALNAC4
ActivatedBcell	TGM5
ActivatedBcell	TMEM156
ActivatedBcell	TNFRSF17
ActivatedBcell	UGT2B17
ActivatedBcell	ZBP1
ActivatedBcell	ZNF165
CD8Tcell	BCL11B
CD8Tcell	CCL5
CD8Tcell	CD2
CD8Tcell	CD247
CD8Tcell	CD27
CD8Tcell	CD3D
CD8Tcell	CD3E
CD8Tcell	CD3G
CD8Tcell	CD6
CD8Tcell	CD69
CD8Tcell	CD7
CD8Tcell	CD8A
CD8Tcell	CD8B
